DATETIME,TANGARA_25CE,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-14T00:59:30-05:00,27,27,50,36,22,23,34,28,27,20,21,21,20,37,38
2023-05-14T01:59:30-05:00,28,38,58,59,13,30,34,32,19,28,23,23,31,43,33
2023-05-14T02:59:30-05:00,33,52,55,52,14,28,34,29,18,34,23,23,29,48,38
2023-05-14T03:59:30-05:00,31,43,55,31,17,25,34,31,17,28,22,21,25,43,27
2023-05-14T04:59:30-05:00,25,42,56,43,25,22,34,36,33,24,25,25,24,45,28
2023-05-14T05:59:30-05:00,25,39,68,49,26,26,34,48,40,26,23,31,37,28,36
2023-05-14T06:59:30-05:00,31,24,,58,26,40,34,39,28,37,28,38,18,18,44
2023-05-14T07:59:30-05:00,40,42,,60,33,40,34,37,33,31,42,40,26,24,44
2023-05-14T08:59:30-05:00,48,48,,61,44,40,34,46,38,55,51,55,39,33,64
2023-05-14T09:59:30-05:00,65,46,,66,66,55,34,63,55,74,56,57,38,22,80
2023-05-14T10:59:30-05:00,70,31,,46,81,63,34,70,62,62,58,63,30,22,72
2023-05-14T11:59:30-05:00,67,33,,61,61,62,34,64,54,61,56,63,34,28,60
2023-05-14T12:59:30-05:00,61,39,,61,55,57,34,59,56,56,40,49,40,29,59
2023-05-14T13:59:30-05:00,53,43,43,56,55,54,34,58,52,56,37,35,37,28,58
2023-05-14T14:59:30-05:00,47,41,37,47,56,48,34,55,48,52,38,38,31,26,56
2023-05-14T15:59:30-05:00,43,34,33,38,47,40,34,43,40,39,28,31,28,23,43
2023-05-14T16:59:30-05:00,23,38,33,41,37,25,34,43,43,31,15,13,28,23,34
2023-05-14T17:59:30-05:00,19,22,27,27,15,28,34,15,17,19,15,16,17,20,25
2023-05-14T18:59:30-05:00,23,16,27,33,8,28,34,6,11,18,17,19,10,18,26
2023-05-14T19:59:30-05:00,20,32,33,60,7,22,34,9,17,19,13,16,28,23,24
2023-05-14T20:59:30-05:00,35,38,43,56,10,38,34,5,25,39,18,21,29,31,54
2023-05-14T21:59:30-05:00,47,33,46,61,13,40,34,33,17,39,18,20,35,27,46
2023-05-14T22:59:30-05:00,27,34,52,35,21,28,34,31,38,22,16,16,19,24,21
2023-05-14T23:59:30-05:00,29,25,28,39,27,29,34,37,44,24,20,20,16,17,25
